id	interarrival	mongrel	database	transfer	total
143	5.0	0.14398	0.56591	0.10148	0.81137
144	29.0	0.36755	0.60335	0.11652	1.08742
145	18.0	0	0.00000	0.00063	0.00063
146	57.0	0.05520	0.55744	0.0346899999999999	0.64733
147	40.0	0.17348	0.56086	0.0266500000000001	0.76099
148	7.0	0.43699	0.74607	0.72011	1.90317
149	9.0	0	0.00000	0.00064	0.00064
150	26.0	0.06063	0.56874	0.03856	0.66793
151	21.0	0.07295	0.56754	0.03188	0.67237
152	6.0	0	0.00000	0.00092	0.00092
153	2.0	0.15757	0.58396	0.05826	0.79979
154	22.0	0.48960	0.86164	0.48753	1.83877
155	7.0	0	0.00000	0.00063	0.00063
156	40.0	0.09288	0.54899	0.00621000000000005	0.64808
157	3.0	0.10357	0.55544	0.00728000000000006	0.66629
158	56.0	0.25766	0.70158	0.06007	1.01931
159	6.0	0.09546	0.53257	0.00727	0.63530
160	2.0	0.20773	0.55813	0.00670999999999999	0.77257
161	55.0	0	0.00000	0.00082	0.00082
162	6.0	0	0.00000	0.00064	0.00064
163	32.0	0.34909	0.57482	0.00805	0.93196
164	3.0	0.65176	0.55886	0.00758999999999999	1.21821
165	53.0	0.15058	0.57216	0.0319400000000001	0.75468
166	32.0	0.32038	0.96084	0.0631999999999998	1.34442
167	0.0	0	0.00000	0.0007	0.00070
168	7.0	0	0.00000	0.00064	0.00064
169	1.0	0.07963	0.61428	0.3084	1.00231
170	5.0	0.17324	0.55363	0.0920900000000001	0.81896
171	35.0	0	0.00062	0.00162	0.00224
172	18.0	0.08005	0.56589	0.03956	0.68550
173	13.0	0.04915	0.56691	0.0233099999999999	0.63937
174	19.0	0.04838	0.53441	0.0227499999999999	0.60554
175	28.0	0.03279	0.97225	0.0237700000000001	1.02881
176	14.0	0.06547	0.74955	0.02699	0.84201
177	221.0	0.04819	0.58755	0.03373	0.66947
178	64.0	0.04702	0.61946	0.0218700000000001	0.68835
179	2.0	0	0.00000	0.00065	0.00065
180	1.0	0	0.00000	0.00064	0.00064
181	1.0	0.22478	0.54336	0.0212100000000001	0.78935
182	11.0	0.17515	0.61988	0.03055	0.82558
183	39.0	0.06095	0.58063	0.0188400000000001	0.66042
184	27.0	0.29906	0.60694	0.11561	1.02161
185	12.0	0.04419	0.55326	0.0333800000000001	0.63083
186	2.0	0.05268	0.56030	0.03095	0.64393
187	38.0	0.04650	0.58404	0.0243	0.65484
188	24.0	1.01000	0.84556	1.54356	3.39912
189	44.0	0.90622	0.83763	1.62985	3.37370
190	6.0	0.64699	0.82547	1.93321	3.40567
191	4.0	0.04494	0.56754	0.02155	0.63403
192	40.0	0.03163	0.55666	0.0216099999999999	0.60990
193	32.0	0.08233	0.57116	0.05118	0.70467
194	10.0	0.18381	0.56810	0.00696999999999992	0.75888
195	1.0	0.28957	0.58274	0.00673999999999997	0.87905
196	19.0	0	0.00066	-1.0e-05	0.00065
197	13.0	0.10997	0.64074	0.19699	0.94770
198	2.0	1.04527	0.88348	1.60433	3.53308
199	8.0	0.66392	0.81657	1.52266	3.00315
200	88.0	0	0.00000	0.00065	0.00065
201	21.0	0.16295	0.55479	0.05902	0.77676
202	2.0	0.04475	0.60703	0.0278200000000001	0.67960
203	6.0	0	0.00000	0.00064	0.00064
204	10.0	0.15815	0.60162	0.0304399999999999	0.79021
205	24.0	0.06024	0.56168	0.0359700000000001	0.65789
206	8.0	0.65343	0.73585	0.41302	1.80230
207	4.0	0.66060	0.73203	0.40662	1.79925
208	10.0	0.05152	0.56226	0.03423	0.64801
209	17.0	0.17675	0.55777	0.0258700000000001	0.76039
210	19.0	0.22725	0.57674	0.0528599999999999	0.85685
211	27.0	0.39636	0.18067	0.62724	1.20427
212	3.0	0.51882	0.16522	0.53828	1.22232
213	1.0	0	0.00071	0.00175	0.00246
214	49.0	0.55062	0.18009	0.53882	1.26953
215	3.0	0.46994	0.17348	0.67089	1.31431
216	16.0	0.05638	0.56187	0.14208	0.76033
217	4.0	0.16617	0.75822	0.0599299999999999	0.98432
218	8.0	0	0.00000	0.00062	0.00062
219	27.0	0.19068	0.57655	0.02739	0.79462
220	9.0	0.19907	0.56574	0.00719999999999998	0.77201
221	2.0	0.19124	0.53654	0.00721000000000005	0.73499
222	25.0	0	0.00000	0.00063	0.00063
223	179.0	0.10006	0.60469	0.05777	0.76252
224	23.0	0.20570	0.56436	0.05879	0.82885
225	5.0	0.04536	0.56636	0.0254900000000001	0.63721
226	15.0	0.09982	0.56458	0.0581700000000001	0.72257
227	17.0	0.17484	0.57479	0.02054	0.77017
228	79.0	0.05432	0.57014	0.02539	0.64985
229	18.0	0	0.00000	0.00065	0.00065
230	31.0	0.23186	0.54584	0.0627099999999999	0.84041
231	29.0	0.03289	0.60655	0.03146	0.67090
232	18.0	0	0.00000	0.00064	0.00064
233	0.0	0.12026	0.58677	0.06287	0.76990
234	9.0	0.39735	0.60063	0.25681	1.25479
235	3.0	0	0.00000	0.00079	0.00079
236	10.0	0.05110	0.55856	0.03037	0.64003
237	75.0	0.07346	0.64070	0.02454	0.73870
238	2.0	0	0.00000	0.00076	0.00076
239	80.0	0.03403	0.54374	0.01937	0.59714
240	39.0	0.03863	0.54138	0.0251000000000001	0.60511
241	158.0	0.05021	0.60675	0.02745	0.68441
242	39.0	0.04396	0.53700	0.02352	0.60448
243	74.0	0	0.00000	0.00063	0.00063
244	6.0	0	0.00000	0.00066	0.00066
245	85.0	0.04715	0.55711	0.0279199999999999	0.63218
246	4.0	0.17343	0.55004	0.0445300000000001	0.76800
247	12.0	0	0.00000	0.00064	0.00064
248	43.0	0.15786	0.56774	0.05863	0.78423
249	68.0	0.11224	0.57780	0.0700000000000001	0.76004
250	3.0	0	0.00065	0.00177	0.00242
251	59.0	0.05320	0.56747	0.03472	0.65539
252	39.0	0.06533	0.57053	0.0283800000000001	0.66424
253	39.0	0.07622	0.57802	0.02712	0.68136
254	36.0	0.47839	0.77491	1.66238	2.91568
255	5.0	0	0.00000	0.00063	0.00063
256	28.0	2.81637	0.87421	0.73904	4.42962
257	20.0	2.64686	0.87491	0.74019	4.26196
258	137.0	0.22531	0.57196	0.0379499999999999	0.83522
259	2.0	0.11384	0.56918	0.04043	0.72345
260	8.0	0.03410	0.57001	0.02271	0.62682
261	23.0	0	0.00000	0.00063	0.00063
262	40.0	0.04490	0.53413	0.01649	0.59552
263	16.0	0.26621	0.63027	0.0578299999999999	0.95431
264	154.0	0	0.00000	0.00063	0.00063
265	1.0	0	0.00000	0.00069	0.00069
266	96.0	0.43883	0.72649	0.47572	1.64104
267	1.0	0.06432	0.55634	0.04167	0.66233
268	6.0	0.06373	0.62867	0.0427700000000001	0.73517
269	6.0	0.07161	0.54600	0.05935	0.67696
270	16.0	0	0.00000	0.00066	0.00066
271	70.0	0.06663	0.67910	0.22914	0.97487
272	3.0	0.05251	0.59022	0.0221200000000001	0.66485
273	1.0	0.05112	0.57286	0.02751	0.65149
274	50.0	0.12688	0.57241	0.17767	0.87696
275	8.0	0	0.00000	0.00082	0.00082
276	5.0	0.06200	0.58302	0.10213	0.74715
277	5.0	0.12506	0.57644	0.17372	0.87522
278	7.0	0.34807	0.59741	0.12317	1.06865
279	7.0	0.26936	0.59267	0.1155	0.97753
280	35.0	0.04704	0.53436	0.03534	0.61674
281	5.0	0	0.00000	0.00066	0.00066
282	1.0	0	0.00000	0.00064	0.00064
283	60.0	0	0.00000	0.00063	0.00063
284	7.0	0.07025	0.57163	0.06043	0.70231
285	5.0	0.18050	0.61759	0.06181	0.85990
286	86.0	0.27005	0.55262	0.05911	0.88178
287	10.0	0	0.00000	0.00065	0.00065
288	49.0	0.16063	0.54919	0.15883	0.86865
289	23.0	0.27543	0.59663	0.05572	0.92778
290	30.0	0.07021	0.58140	0.0457299999999999	0.69734
291	12.0	0.59270	0.85402	0.71624	2.16296
292	5.0	0	0.00064	0.00169	0.00233
293	100.0	0.04677	0.53707	0.03193	0.61577
294	44.0	0.15256	0.57822	0.05298	0.78376
295	4.0	0.26173	0.58235	0.0535599999999999	0.89764
296	16.0	0.20447	0.56549	0.0331199999999999	0.80308
297	3.0	0.09446	0.60765	0.03379	0.73590
298	4.0	0.10199	0.56195	0.14543	0.80937
299	47.0	0.08467	0.54736	0.0355	0.66753
300	33.0	0.27022	0.54932	0.0664399999999999	0.88598
301	3.0	0.15023	0.57708	0.06821	0.79552
302	43.0	0.06216	0.57594	0.04229	0.68039
303	87.0	0.05530	0.55366	0.0216299999999999	0.63059
304	136.0	0.16275	0.54916	0.0593499999999999	0.77126
305	5.0	0	0.00000	0.00063	0.00063
306	7.0	0.22482	0.57925	0.0730099999999999	0.87708
307	5.0	0	0.00000	0.0007	0.00070
308	181.0	0.12638	0.58847	0.07762	0.79247
309	7.0	0	0.00000	0.00088	0.00088
310	5.0	0	0.00000	0.00063	0.00063
311	33.0	0.31544	0.58122	0.0814800000000001	0.97814
312	6.0	0.06782	0.59886	0.0306000000000001	0.69728
313	5.0	0	0.00000	0.00065	0.00065
314	34.0	0.04637	0.58974	0.1039	0.74001
315	126.0	0.06206	0.58484	0.04248	0.68938
316	25.0	0.22174	0.55706	0.04231	0.82111
317	28.0	0	0.00000	0.00064	0.00064
318	2.0	0.04636	0.55509	0.02597	0.62742
319	16.0	0.19312	0.58330	0.0251099999999999	0.80153
320	1.0	0	0.00000	0.00072	0.00072
321	10.0	0.15611	0.55156	0.02673	0.73440
322	10.0	0.29474	0.58861	0.12059	1.00394
323	3.0	0.29563	0.58328	0.11521	0.99412
324	7.0	0	0.00000	0.00115	0.00115
325	4.0	0	0.00000	0.00063	0.00063
326	4.0	0.05369	0.57782	0.03274	0.66425
327	1.0	0.04478	0.55433	0.02457	0.62368
328	6.0	0.31447	0.57169	0.12422	1.01038
329	2.0	0.33133	0.58940	0.12537	1.04610
330	30.0	0.04671	0.57341	0.02275	0.64287
331	71.0	0.31000	0.59821	0.12138	1.02959
332	5.0	0.32363	0.64422	0.11817	1.08602
